id,Feeder,To,From,length,TurbALeft,TurbBLeft,cableSize,Losses,startTurb,endTurb,,,,,,,,,
,5,JB25-4,JB25-3,5526.339,,,'1250',,D,D,,,,,,,,,
,5,WTT-25-01_42,JB25-4,5642.348,,,'1250',,A,D,,,,,,,,,
,5,WTT-25-02_42,WTT-25-01_42,2824.793,,,'1000',,A,A,,,,,,,,,
,5,WTT-25-03_42,WTT-25-02_42,1710.677,,,'750',,A,A,,,,,,,,,
,5,WTT-25-04_42,WTT-25-03_42,1210.975,,,'500',,A,A,,,,,,,,,
,5,WTT-25-05_42,WTT-25-04_42,1367.881,,,'4/0',,A,A,,,,,,,,,
,5,WTT-25-06_42,WTT-25-05_42,1416.919,,,'1/0',,A,A,,,,,,,,,
,1,JB31-1,sub31,7698.864,,,'1250',,D,C,,,,,,,,,
,1,JB31-2,JB31-1,7716.72,,,'1250',,D,D,,,,,,,,,
,1,JB31-3,JB31-2,8265.379,,,'1250',,D,D,,,,,,,,,
,1,WTT-31-01_42,JB31-3,6040.545,,,'1250',,A,D,,,,,,,,,
,1,WTT-31-02_42,WTT-31-01_42,1313.529,,,'1000',,A,A,,,,,,,,,
,1,WTT-31-03_42,WTT-31-02_42,1328.163,,,'750',,A,A,,,,,,,,,
,1,WTT-31-04_42,WTT-31-03_42,5156.406,,,'500',,A,A,,,,,,,,,
,1,WTT-31-05_42,WTT-31-04_42,1361.708,,,'4/0',,A,A,,,,,,,,,
,1,WTT-31-06_42,WTT-31-05_42,1286.734,,,'1/0',,A,A,,,,,,,,,
,2,JB32-1,sub32,7662.22,,,'1250',,D,C,,,,,,,,,
,2,JB32-2,JB32-1,7715.054,,,'1250',,D,D,,,,,,,,,
,2,WTT-32-01_42,JB32-2,8365.255,,,'1250',,A,D,,,,,,,,,
,2,WTT-32-02_42,WTT-32-01_42,1357.432,,,'1000',,A,A,,,,,,,,,
,2,WTT-32-03_42,WTT-32-02_42,1346.081,,,'750',,A,A,,,,,,,,,
,2,WTT-32-04_42,WTT-32-03_42,1355.817,,,'500',,A,A,,,,,,,,,
,2,WTT-32-05_42,WTT-32-04_42,1384.874,,,'4/0',,A,A,,,,,,,,,
,2,WTT-32-06_42,WTT-32-05_42,1127.222,,,'1/0',,A,A,,,,,,,,,
,3,JB33-1,sub33,7607.207,,,'1250',,D,C,,,,,,,,,
,3,JB33-2,JB33-1,7760.405,,,'1250',,D,D,,,,,,,,,
,3,JB33-3,JB33-2,5399.057,,,'1250',,D,D,,,,,,,,,
,3,WTT-33-01_42,JB33-3,8215.404,,,'1250',,A,D,,,,,,,,,
,3,WTT-33-02_42,WTT-33-01_42,1292.817,,,'1000',,A,A,,,,,,,,,
,3,WTT-33-03_42,WTT-33-02_42,4730.804,,,'750',,A,A,,,,,,,,,
,3,WTT-33-04_42,WTT-33-03_42,1258.454,,,'500',,A,A,,,,,,,,,
,3,WTT-33-05_42,WTT-33-04_42,1276.29,,,'4/0',,A,A,,,,,,,,,
,3,WTT-33-06_42,WTT-33-05_42,1317.377,,,'1/0',,A,A,,,,,,,,,
,4,JB34-1,sub34,3762.532,,,'1000',,D,C,,,,,,,,,
,4,WTT-34-01_20,JB34-1,8335.207,,,'1000',,B,D,,,,,,,,,
,4,WTT-34-02_20,WTT-34-01_20,1224.65,,,'1000',,B,B,,,,,,,,,
,4,WTT-34-03_20,WTT-34-02_20,5150.104,,,'750',,B,B,,,,,,,,,
,4,WTT-34-04_20,WTT-34-03_20,2051.575,,,'500',,B,B,,,,,,,,,
,4,WTT-34-05_20,WTT-34-04_20,1072.231,,,'500',,B,B,,,,,,,,,
,4,WTT-34-06_20,WTT-34-05_20,1067.071,,,'500',,B,B,,,,,,,,,
,4,WTT-34-07_20,WTT-34-06_20,1088.588,,,'4/0',,B,B,,,,,,,,,
,4,WTT-34-08_20,WTT-34-07_20,4032.535,,,'4/0',,B,B,,,,,,,,,
,4,WTT-34-09_20,WTT-34-08_20,1011.889,,,'1/0',,B,B,,,,,,,,,
,4,WTT-34-10_20,WTT-34-09_20,1044.771,,,'1/0',,B,B,,,,,,,,,
,4,WTT-34-11_20,WTT-34-10_20,1083.903,,,'1/0',,B,B,,,,,,,,,
