P [MW],0.95 Lagging Limit [MVAr],0.95 Leading Limit [MVAr],0.950 Vpu Lagging P [MW],0.950 Vpu Lagging Q [MVAr],0.980 Vpu Lagging P [MW],0.980 Vpu Lagging Q [MVAr],1.040 Vpu Lagging P [MW],1.040 Vpu Lagging Q [MVAr],1.050 Vpu Lagging P [MW],1.050 Vpu Lagging Q [MVAr],0.950 Vpu Leading P [MW],0.950 Vpu Leading Q [MVAr],0.980 Vpu Leading P [MW],0.980 Vpu Leading Q [MVAr],1.040 Vpu Leading P [MW],1.040 Vpu Leading Q [MVAr],1.050 Vpu Leading P [MW],1.050 Vpu Leading Q [MVAr]
301.000,98.934,-98.934,3.713,187.623,3.655,191.315,2.416,156.877,2.169,146.924,0.735,22.119,0.763,0.343,1.320,-62.674,1.507,-73.749
301.000,98.934,-98.934,85.906,188.446,86.000,192.458,87.407,150.652,87.646,140.253,88.750,14.784,88.736,-13.123,88.103,-81.419,87.866,-93.150
301.000,98.934,-98.934,174.270,177.599,174.471,182.529,176.044,134.523,176.281,123.858,176.601,-7.902,176.605,-33.977,175.929,-105.244,175.731,-117.855
301.000,98.934,-98.934,290.945,96.835,291.350,103.855,292.241,103.905,292.501,93.134,290.937,-64.435,291.311,-71.454,290.833,-141.537,290.668,-153.939
execution time Tue Jun 29 12:33:35 2021
 run time 48.99
