P [MW],0.95 Lagging Limit [MVAr],0.95 Leading Limit [MVAr],0.950 Vpu Lagging P [MW],0.950 Vpu Lagging Q [MVAr],0.980 Vpu Lagging P [MW],0.980 Vpu Lagging Q [MVAr],1.040 Vpu Lagging P [MW],1.040 Vpu Lagging Q [MVAr],1.050 Vpu Lagging P [MW],1.050 Vpu Lagging Q [MVAr],0.950 Vpu Leading P [MW],0.950 Vpu Leading Q [MVAr],0.980 Vpu Leading P [MW],0.980 Vpu Leading Q [MVAr],1.040 Vpu Leading P [MW],1.040 Vpu Leading Q [MVAr],1.050 Vpu Leading P [MW],1.050 Vpu Leading Q [MVAr]
301.000,98.934,-98.934,3.713,187.623,3.655,191.315,3.573,198.730,3.561,199.983,3.526,-150.296,3.286,-146.285,2.924,-139.162,2.876,-138.064
301.000,98.934,-98.934,85.906,188.446,86.000,192.458,86.130,200.372,86.151,201.710,85.504,-169.728,85.859,-164.583,86.405,-155.654,86.479,-154.301
301.000,98.934,-98.934,174.270,177.599,174.471,182.529,174.742,191.769,174.788,193.351,171.691,-215.835,172.470,-206.640,173.662,-191.541,173.824,-189.347
301.000,98.934,-98.934,290.945,96.835,291.350,103.855,292.053,117.175,292.157,119.318,286.726,-212.131,288.006,-198.281,289.855,-177.006,290.110,-173.938
execution time Tue Jun 29 12:33:26 2021
 run time 7.72
