P [MW],0.95 Lagging Limit [MVAr],0.95 Leading Limit [MVAr],0.950 Vpu Lagging P [MW],0.950 Vpu Lagging Q [MVAr],0.980 Vpu Lagging P [MW],0.980 Vpu Lagging Q [MVAr],1.040 Vpu Lagging P [MW],1.040 Vpu Lagging Q [MVAr],1.050 Vpu Lagging P [MW],1.050 Vpu Lagging Q [MVAr],0.950 Vpu Leading P [MW],0.950 Vpu Leading Q [MVAr],0.980 Vpu Leading P [MW],0.980 Vpu Leading Q [MVAr],1.040 Vpu Leading P [MW],1.040 Vpu Leading Q [MVAr],1.050 Vpu Leading P [MW],1.050 Vpu Leading Q [MVAr]
301.000,98.934,-98.934,3.638,185.898,3.580,189.445,2.436,157.222,2.082,141.930,0.738,23.142,0.767,0.560,1.329,-64.189,1.532,-75.492
301.000,98.934,-98.934,85.995,186.836,86.088,190.706,87.567,143.157,87.852,129.002,88.764,15.877,88.754,-12.854,88.118,-82.875,87.869,-94.806
301.000,98.934,-98.934,174.406,176.335,174.799,172.418,176.517,108.207,176.708,96.638,176.695,-6.189,176.700,-33.275,176.010,-106.361,175.810,-119.241
301.000,98.934,-98.934,291.182,96.397,291.576,103.198,292.559,93.737,292.842,77.675,291.247,-61.039,291.588,-70.296,291.094,-141.874,290.923,-154.594
execution time Tue Jun 29 12:31:05 2021
 run time 49.32
